Freq[Hz]     dBSPL  Phase[Deg]
148.855     92.784    38.721
151.020     92.723    37.522
153.217     92.658    36.407
155.445     92.591    35.366
157.706     92.524    34.387
160.000     92.457    33.462
162.327     92.390    32.586
164.688     92.324    31.758
167.084     92.257    30.977
169.514     92.190    30.248
171.980     92.126    29.571
174.481     92.065    28.944
177.019     92.010    28.359
179.594     91.961    27.799
182.206     91.920    27.251
184.856     91.883    26.702
187.545     91.849    26.146
190.273     91.816    25.585
193.041     91.783    25.023
195.849     91.751    24.463
198.697     91.718    23.908
201.587     91.685    23.357
204.520     91.652    22.813
207.494     91.620    22.273
210.512     91.587    21.739
213.574     91.554    21.207
216.681     91.521    20.678
219.833     91.486    20.150
223.030     91.450    19.626
226.274     91.411    19.111
229.565     91.370    18.609
232.905     91.328    18.125
236.292     91.284    17.660
239.729     91.239    17.213
243.216     91.195    16.785
246.754     91.150    16.372
250.343     91.106    15.973
253.984     91.062    15.588
257.678     91.017    15.216
261.426     90.973    14.857
265.229     90.928    14.510
269.087     90.884    14.174
273.001     90.839    13.849
276.972     90.795    13.532
281.000     90.750    13.224
285.088     90.704    12.925
289.234     90.657    12.635
293.441     90.608    12.360
297.709     90.557    12.101
302.040     90.506    11.862
306.433     90.453    11.645
310.890     90.401    11.450
315.412     90.348    11.275
320.000     90.295    11.120
324.655     90.243    10.985
329.377     90.190    10.870
334.168     90.137    10.777
339.028     90.085    10.705
343.959     90.032    10.656
348.962     89.979    10.632
354.038     89.926    10.634
359.188     89.874    10.667
364.412     89.821    10.736
369.713     89.769    10.850
375.090     89.720    11.015
380.546     89.676    11.233
386.081     89.643    11.492
391.697     89.621    11.769
397.394     89.610    12.042
403.175     89.609    12.289
409.039     89.612    12.501
414.989     89.618    12.681
421.025     89.625    12.838
427.149     89.632    12.982
433.362     89.638    13.119
439.665     89.645    13.257
446.060     89.652    13.404
452.548     89.660    13.567
459.131     89.673    13.752
465.809     89.694    13.950
472.584     89.725    14.142
479.458     89.768    14.300
486.432     89.821    14.399
493.507     89.880    14.415
500.686     89.942    14.331
507.968     90.003    14.137
515.357     90.055    13.824
522.853     90.089    13.406
530.458     90.094    12.936
538.174     90.070    12.484
546.002     90.017    12.125
553.943     89.942    11.933
562.001     89.859    11.948
570.175     89.782    12.170
578.469     89.727    12.565
586.883     89.702    13.060
595.419     89.707    13.581
604.080     89.741    14.057
612.866     89.794    14.435
621.780     89.856    14.706
630.824     89.920    14.882
640.000     89.985    14.979
649.309     90.050    15.009
658.753     90.114    14.971
668.335     90.177    14.859
678.056     90.236    14.665
687.919     90.283    14.397
697.925     90.315    14.082
708.077     90.330    13.758
718.376     90.329    13.459
728.825     90.315    13.221
739.426     90.295    13.054
750.181     90.274    12.955
761.093     90.252    12.914
772.163     90.234    12.920
783.394     90.218    12.963
794.789     90.206    13.031
806.349     90.198    13.117
818.078     90.191    13.213
829.977     90.186    13.317
842.050     90.181    13.433
854.298     90.176    13.563
866.724     90.171    13.710
879.330     90.166    13.877
892.120     90.161    14.067
905.097     90.156    14.283
918.262     90.151    14.531
931.618     90.146    14.816
945.169     90.142    15.150
958.917     90.137    15.550
972.864     90.137    16.034
987.015     90.147    16.617
1001.37     90.178    17.282
1015.94     90.236    17.978
1030.71     90.323    18.648
1045.71     90.435    19.234
1060.92     90.565    19.694
1076.35     90.701    20.021
1092.00     90.840    20.231
1107.89     90.979    20.341
1124.00     91.118    20.363
1140.35     91.257    20.300
1156.94     91.397    20.148
1173.77     91.535    19.896
1190.84     91.669    19.530
1208.16     91.794    19.044
1225.73     91.899    18.454
1243.56     91.980    17.810
1261.65     92.036    17.165
1280.00     92.068    16.574
1298.62     92.086    16.076
1317.51     92.098    15.679
1336.67     92.107    15.376
1356.11     92.118    15.160
1375.84     92.133    15.029
1395.85     92.157    14.973
1416.15     92.196    14.965
1436.75     92.252    14.968
1457.65     92.323    14.945
1478.85     92.408    14.862
1500.36     92.498    14.706
1522.19     92.591    14.480
1544.33     92.685    14.191
1566.79     92.779    13.847
1589.58     92.872    13.450
1612.70     92.966    13.001
1636.16     93.060    12.494
1659.95     93.153    11.921
1684.10     93.245    11.270
1708.60     93.333    10.530
1733.45     93.411     9.698
1758.66     93.473     8.796
1784.24     93.516     7.859
1810.19     93.542     6.920
1836.52     93.554     6.010
1863.24     93.558     5.138
1890.34     93.557     4.292
1917.83     93.553     3.456
1945.73     93.545     2.620
1974.03     93.531     1.779
2002.74     93.512     0.932
2031.87     93.487     0.074
2061.43     93.456    -0.808
2091.41     93.415    -1.723
2121.83     93.358    -2.662
2152.69     93.279    -3.589
2184.01     93.179    -4.464
2215.77     93.059    -5.245
2248.00     92.926    -5.903
2280.70     92.788    -6.439
2313.87     92.647    -6.865
2347.53     92.507    -7.195
2381.68     92.366    -7.441
2416.32     92.226    -7.606
2451.46     92.085    -7.694
2487.12     91.945    -7.704
2523.30     91.804    -7.633
2560.00     91.664    -7.479
2597.24     91.523    -7.232
2635.01     91.383    -6.883
2673.34     91.242    -6.413
2712.23     91.103    -5.789
2751.68     90.971    -4.975
2791.70     90.858    -3.947
2832.31     90.785    -2.737
2873.50     90.767    -1.446
2915.30     90.803    -0.188
2957.70     90.890     0.922
3000.72     91.012     1.796
3044.37     91.147     2.416
3088.65     91.286     2.803
3133.58     91.422     2.974
3179.16     91.551     2.942
3225.40     91.661     2.724
3272.31     91.742     2.374
3319.91     91.791     1.965
3368.20     91.810     1.569
3417.19     91.804     1.253
3466.89     91.784     1.047
3517.32     91.760     0.948
3568.48     91.734     0.940
3620.39     91.709     1.009
3673.05     91.686     1.147
3726.47     91.664     1.354
3780.67     91.647     1.628
3835.67     91.633     1.967
3891.46     91.624     2.372
3948.06     91.620     2.856
4005.49     91.623     3.438
4063.75     91.637     4.142
4122.86     91.678     4.960
4182.82     91.757     5.834
4243.66     91.873     6.690
4305.39     92.028     7.455
4368.01     92.210     8.071
4431.55     92.407     8.532
4496.01     92.618     8.859
4561.40     92.848     9.048
4627.75     93.101     9.059
4695.06     93.376     8.819
4763.35     93.659     8.251
4832.64     93.932     7.302
4902.93     94.162     6.012
4974.24     94.333     4.511
5046.60     94.446     2.947
5120.00     94.503     1.460
5194.47     94.524     0.153
5270.03     94.531    -0.953
5346.68     94.536    -1.886
5424.45     94.550    -2.689
5503.35     94.577    -3.420
5583.40     94.617    -4.125
5664.61     94.670    -4.846
5747.01     94.732    -5.623
5830.60     94.798    -6.476
5915.41     94.863    -7.415
6001.45     94.922    -8.444
6088.74     94.969    -9.550
6177.30     95.000   -10.705
6267.15     95.014   -11.873
6358.31     95.014   -13.026
6450.80     95.002   -14.139
6544.62     94.986   -15.217
6639.82     94.969   -16.275
6736.40     94.951   -17.338
6834.38     94.933   -18.432
6933.79     94.913   -19.597
7034.64     94.882   -20.869
7136.96     94.826   -22.252
7240.77     94.720   -23.672
7346.09     94.549   -24.934
7452.94     94.334   -25.854
7561.35     94.100   -26.341
7671.33     93.878   -26.386
7782.91     93.708   -26.091
7896.12     93.598   -25.624
8010.97     93.542   -25.102
8127.49     93.531   -24.568
8245.71     93.578   -24.082
8365.65     93.687   -23.784
8487.33     93.844   -23.832
8610.78     94.019   -24.330
8736.03     94.175   -25.292
8863.09     94.278   -26.612
8992.01     94.312   -28.092
9122.80     94.285   -29.540
9255.50     94.216   -30.841
9390.12     94.121   -31.954
9526.70     94.012   -32.867
9665.27     93.895   -33.578
9805.86     93.774   -34.049
9948.49     93.668   -34.241
10093.2     93.614   -34.229
10240.0     93.625   -34.196
10388.9     93.696   -34.326
10540.1     93.815   -34.808
10693.4     93.928   -35.726
10848.9     93.998   -36.962
11006.7     94.016   -38.332
11166.8     93.985   -39.662
11329.2     93.929   -40.833
11494.0     93.879   -41.858
11661.2     93.844   -42.827
11830.8     93.830   -43.843
12002.9     93.824   -44.992
12177.5     93.806   -46.288
12354.6     93.765   -47.679
12534.3     93.697   -49.091
12716.6     93.606   -50.457
12901.6     93.504   -51.751
13089.2     93.399   -52.989
13279.6     93.295   -54.204
13472.8     93.192   -55.432
13668.8     93.085   -56.700
13867.6     92.969   -58.017
14069.3     92.837   -59.366
14273.9     92.686   -60.718
14481.5     92.517   -62.045
14692.2     92.332   -63.336
14905.9     92.134   -64.598
15122.7     91.918   -65.845
15342.7     91.669   -67.036
15565.8     91.379   -68.047
15792.2     91.057   -68.749
16021.9     90.728   -69.072
16255.0     90.419   -69.040
16491.4     90.156   -68.759
16731.3     89.947   -68.368
16974.7     89.788   -67.993
17221.6     89.660   -67.702
17472.1     89.554   -67.506
17726.2     89.468   -67.418
17984.0     89.397   -67.467
18245.6     89.332   -67.665
18511.0     89.265   -68.009
18780.2     89.187   -68.486
19053.4     89.091   -69.055
19330.5     88.969   -69.641
19611.7     88.828   -70.179
19897.0     88.675   -70.635
20186.4     88.518   -70.991
20480.0     88.370   -71.272
20777.9     88.232   -71.529
21080.1     88.100   -71.791
21386.7     87.971   -72.064
21697.8     87.841   -72.344
22013.4     87.712   -72.626
22333.6     87.583   -72.907
22658.4     87.453   -73.186
22988.0     87.324   -73.463
23322.4     87.195   -73.737
23661.6     87.066   -74.008
24005.8     86.936   -74.276
24355.0     86.807   -74.540
24709.2     86.678   -74.802
25068.6     86.548   -75.060
25433.2     86.419   -75.314
25803.2     86.290   -75.565
26178.5     86.160   -75.813
26559.3     86.031   -76.058
26945.6     85.902   -76.299
27337.5     85.772   -76.537
27735.2     85.643   -76.771
28138.6     85.514   -77.003
28547.9     85.384   -77.231
28963.1     85.255   -77.456
29384.4     85.126   -77.678
29811.8     84.997   -77.896
30245.4     84.867   -78.112
30685.3     84.738   -78.325
31131.7     84.609   -78.534
31584.5     84.479   -78.741
32043.9     84.350   -78.945
32510.0     84.221   -79.146
32982.8     84.091   -79.344
33462.6     83.962   -79.540
33949.3     83.833   -79.733
34443.1     83.703   -79.923
34944.1     83.574   -80.110
35452.4     83.445   -80.295
35968.0     83.316   -80.478
36491.2     83.186   -80.658
37022.0     83.057   -80.836
37560.5     82.928   -81.014
38106.8     82.811   -81.174
38661.1     82.704   -81.324
39223.4     82.625   -81.438
39793.9     82.565   -81.525
